Name,Author,Year,Language,Total Pages,Read
Записки изъ подполья (Notes from Underground),Фёдор Михайлович Достоевский (Fyodor Dostoevsky),1864,English,,FALSE
Brave New World,Aldous Huxley,1932,English,206,FALSE
Fahrenheit 451,Ray Bradbury,1953,English,189,FALSE
A Wizard of Earthsea,Ursula K. Le Guin,1968,English,201,FALSE
"Women, Race & Class (Donne, razza e colore)",Angela Davis,1981,Italian,,FALSE
The Meaning of It All,Richard P. Feynman,1998,English,123,FALSE
旅猫リポート (The Travelling Cat Chronicles),有川 浩 (Hiro Arikawa),2012,English,204,FALSE
The Storied Life of A.J. Fikry,Gabrielle Zevin,2014,English,202,FALSE
소년이 온다 (Human Acts),한강 (Han Kang),2014,English,240,FALSE
Our mathematical universe,Max Tegmark,2014,English,398,FALSE
"Superintelligence: Paths, Dangers, Strategies",Nick Bostrom,2014,English,,FALSE
The Science of Interstellar (Viaggiare nello spaziotempo),Kip Thorne,2015,Italian,,FALSE
Hunger,Roxane Gay,2017,English,226,FALSE
Invisible women,Caroline Criado Perez,2019,English,,FALSE
Artificial Intelligence: A guide for Thinking Humans,Melanie Mitchell,2019,English,,FALSE
Invention and Innovation,Vaclav Smil,2023,English,232,FALSE
The New Breed: How to Think About Robots,Kate Darling,2021,English,,FALSE
L'ordine del tempo,Carlo Rovelli,2017,Italian,,FALSE
The book Thief,Marcus Zusak,2005,English,,FALSE
This Is How You Lose the Time War,"Amal El-Mohtar, Max Gladstone",2019,English,,FALSE
In Memorian,Alice Winn,2019,English,,FALSE
A Little Life,Hanya Yanagihara,2015,English,,FALSE
Conversation with Friends,Sally Rooney,2017,English,,FALSE
"Beautiful World, Where Are You",Sally Rooney,2021,English,,FALSE
Intermezzo,Sally Rooney,2024,English,,FALSE
저주토끼 (Cursed Bunny),정보라 (Bora Chung),2017,English,,FALSE
Pedro Páramo,Juan Rulfo,1956,Spanish,,FALSE
Memoria de mis putas tristes,Gabriel García Márquez,2004,Spanish,,
Tiempos recios,Mario Vargas Llosa,2019,Spanish,,
Travesuras de la niña mala,Mario Vargas Llosa,2006,Spanish,,
